name,picIDs,categoryName,typeName,period
C1B000004,C1B000004N000000000PAB,瓷器,NA,清
C1B000011,C1B000011N000000000PAB,瓷器,NA,清
C1B000012,C1B000012N000000000PAB,瓷器,NA,清
C1B000025,C1B000025N000000000PAB,瓷器,NA,清
C1B000060,C1B000060N000000000PAB,瓷器,瓶,清
C1B000067,C1B000067N000000000PAB,瓷器,瓶,清
C1B000098,"C1B000098N000000000PAB,C1B000098N000000000PAC",瓷器,瓶,清
C1B000114,C1B000114N000000000PAB,瓷器,瓶,清
C1B000179,C1B000179N000000000PAB,瓷器,碟,清
C1B000201,C1B000201N000000000PAB,瓷器,碟,清
C1B000202,C1B000202N000000000PAB,瓷器,碟,清
C1B000217,"C1B000217N000000000PAB,C1B000217N000000000PAC,C1B000217N000000000PAD",瓷器,罐,清
C1B000229,C1B000229N000000000PAB,瓷器,碗,清
C1B000272,C1B000272N000000000PAB,瓷器,碗,清
C1B000287,C1B000287N000000000PAB,瓷器,碗,清
C1B000326,C1B000326N000000000PAB,瓷器,瓶,NA
C1B000329,C1B000329N000000000PAB,瓷器,瓶,NA
C1B000339,C1B000339N000000000PAB,瓷器,NA,NA
C1B000484,C1B000484N000000000PAB,瓷器,尊,清
C1B000517,C1B000517N000000000PAB,瓷器,尊,清
C1B000532,C1B000532N000000000PAB,瓷器,瓶,NA
C1B000559,"C1B000559N000000000PAB,C1B000559N000000000PAC,C1B000559N000000000PAD",瓷器,盆,清
C1B000562,C1B000562N000000000PAB,瓷器,瓶,清
C1B000597,C1B000597N000000000PAB,瓷器,碗,清
C1B000602,C1B000602N000000000PAB,瓷器,鍾,清
C1B000622,C1B000622N000000000PAB,瓷器,瓶,清
C1B000637,C1B000637N000000000PAB,瓷器,瓶,NA
C1B000656,C1B000656N000000000PAB,瓷器,瓶,清
C1B000666,C1B000666N000000000PAB,瓷器,洗,清
C1B000670,C1B000670N000000000PAB,瓷器,洗,清
C1B000706,C1B000706N000000000PAB,瓷器,瓶,清
C1B000749,C1B000749N000000000PAB,瓷器,瓶,清
C1B000759,C1B000759N000000000PAB,瓷器,罐,清
C1B000782,C1B000782N000000000PAB,瓷器,指,清
C1B000816,C1B000816N000000000PAB,瓷器,指,清
C1B000823,C1B000823N000000000PAB,瓷器,指,清
C1B000894,C1B000894N000000000PAB,瓷器,指,清
C1B000915,C1B000915N000000000PAB,瓷器,指,清
C1B000918,C1B000918N000000000PAB,瓷器,指,清
C1B000923,C1B000923N000000000PAB,瓷器,指,清
C1B000928,C1B000928N000000000PAB,瓷器,指,清
C1B000935,C1B000935N000000000PAB,瓷器,指,清
C1B000982,C1B000982N000000000PAB,瓷器,指,清
