name,objectID,picIDs,picURLs,categoryName,typeName,period,dynasty,year
清乾隆仿木釉纹碗,0039d4feb2fe4e55bf3e09422e7a54e1,"201901291141261607848,201901291141261607850","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10521/THUMB/40_艺10521-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10521/THUMB/40_艺10521-E-02.jpg",瓷器,碗,清,乾隆,1765.5
清乾隆青花博古图镇纸,006c14dc239e42dc83daf0cf81db4ee3,"201901291141261607704,201901291141261607701","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10497/THUMB/40_艺10497-B-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10497/THUMB/40_艺10497-A-01.jpg",瓷器,NA,清,乾隆,1765.5
清嘉庆粉墨彩诗文盖杯,007a30ba261f40708cf795a94171f213,"201901291141261608522,201901291141261608527","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10631/THUMB/40_艺10631-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10631/THUMB/40_艺10631-F-01.jpg",瓷器,杯,清,嘉庆,1808.0
清道光绿地清道光粉彩万蝠花卉纹折腰盘,01058df2f8aa442eafc3b99075ad3005,201901291141261609487,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10786/THUMB/40_艺10786-A-02.jpg,瓷器,盘,清,道光,1835.0
清乾隆粉彩描金佛像,019b554f584845a19d6316b4fe38c992,201901291141261615149,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺11700/THUMB/40_艺11700-A-02.jpg,瓷器,像,清,乾隆,1765.5
清康熙青花龙凤纹碗,0289f8d37bd34e35904bdd63a8451679,201901291141261606319,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10267/THUMB/40_艺10267-A-01.jpg,瓷器,碗,清,康熙,1691.5
清乾隆豆青釉鼓式罐,0506ba1d00ee46a09c108961c887c15e,"201901291141261608390,201901291141261608395","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10609/THUMB/40_艺10609-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10609/THUMB/40_艺10609-F-01.jpg",瓷器,罐,清,乾隆,1765.5
清雍正仿哥釉铺首耳香炉,06763ad76b0747888d7e552bb18a8888,"201901291141261606833,201901291141261606838","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10352/THUMB/40_艺10352-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10352/THUMB/40_艺10352-F-01.jpg",瓷器,炉,清,雍正,1728.5
清嘉庆红彩御诗纹碗,07f9834c65d84c7d81d0abe387cedad6,"201901291141261608471,201901291141261608475,201901291141261608476","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10622/THUMB/40_艺10622-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10622/THUMB/40_艺10622-B-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10622/THUMB/40_艺10622-F-01.jpg",瓷器,碗,清,嘉庆,1808.0
清道光仿哥釉云头洗,09a435c9a3d94c8c9d6d1317bc9ce47b,201901291141261670304,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺26407/THUMB/40_艺26407-A-01.jpg,瓷器,洗,清,道光,1835.0
清同治红彩描金龙凤纹渣斗,0b817427c76f446bb2b479ef77dbb9da,"201901291141261609665,201901291141261609670","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10815/THUMB/40_艺10815-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10815/THUMB/40_艺10815-F-01.jpg",瓷器,NA,清,同治,1868.0
明宣德青花鸡心碗,0d7ce96885ad4e2393889d2534ed3027,"201901291141261605481,201901291141261605482,201901291141261605485","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10128/THUMB/40_艺10128-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10128/THUMB/40_艺10128-E-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10128/THUMB/40_艺10128-F-01.jpg",瓷器,碗,明,宣德,1430.0
清道光粉彩八仙祝寿纹盖碗,0ef152d50ffb4c65b326acc8dfa5468f,"201901291141261609448,201901291141261609453,201901291141261609454","http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10780/THUMB/40_艺10780-A-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10780/THUMB/40_艺10780-F-01.jpg,http://files.bjmuseum.org.cn/baijing/02/11010821800132/艺10780/THUMB/40_艺10780-F-02.jpg",瓷器,碗,清,道光,1835.0
